county,lat,long,ID
dade,37.4323036,-93.8406302,713
dallas,37.6832712,-93.0219376,714
daviess,39.9587505,-93.9962662,715
de kalb,39.5869398,-94.9252426,716
dent,37.6211924,-91.5167381,717
douglas,36.9433177,-92.5246813,718
dunklin,36.2156534,-90.0591292,719
franklin,38.4021095,-91.0841241,720
gasconade,38.4575789,-91.5177499,721
gentry,40.2044898,-94.4159527,722
greene,37.2671929,-93.3465486,723
grundy,40.1075648,-93.5737817,724
harrison,40.337172,-93.9845199,725
henry,38.3791027,-93.8066565,726
hickory,37.959055,-93.3334746,727
holt,40.0989571,-95.2134565,728
howard,39.1321077,-92.7181732,729
howell,36.766989,-91.9151975,730
iron,37.575509,-90.6953467,731
jackson,38.985812,-94.3616622,732
jasper,37.176515,-94.3103412,733
jefferson,38.267166,-90.5721889,734
johnson,38.7295547,-93.8161034,735
knox,40.122723,-92.1573551,736
laclede,37.6475206,-92.6324187,737
lafayette,39.0603689,-93.8151868,738
lawrence,37.1036975,-93.8535681,739
lewis,40.0902418,-91.7013355,740
lincoln,39.0605477,-90.959359,741
